Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
citaChapultepec_79943272	pareja.personaje	Sólo sacas un pretexto para pelear.	game/point_and_click/point_and_click.rpy	69	pareja.personaje "[what]"
citaChapultepec_ed08daeb	jugador.personaje	No, de verdad que no, solo quiero saber...	game/point_and_click/point_and_click.rpy	71	jugador.personaje "[what]"
citaChapultepec_94d53998	pareja.personaje	¿La verdad? Pues yo... siento que eres muy absorbente, hostigas.	game/point_and_click/point_and_click.rpy	73	pareja.personaje "[what]"
citaChapultepec_b3bf78b8	jugador.personaje	¿Cómo? No entiendo, si según yo estábamos bien.	game/point_and_click/point_and_click.rpy	82	jugador.personaje "[what]"
citaChapultepec_5e900a85	pareja.personaje	¿Eso quéee?, ¿ya viste que en lugar de preguntar por qué pienso eso, hiciste que todo se tratara sobre ti?	game/point_and_click/point_and_click.rpy	97	pareja.personaje "[what]"
citaChapultepec_75bea16e	jugador.personaje	...	game/point_and_click/point_and_click.rpy	107	jugador.personaje "[what]"
citaChapultepec_ab8e8ffe	jugador.personaje	Eh... yo no quería molestarte. A veces soy así por que me importas. Por que te amo.	game/point_and_click/point_and_click.rpy	109	jugador.personaje "[what]"
citaChapultepec_7c32dd1b	narrador	Hay un breve silencio entre Carlos y Ximena. Llevan tiempo intentando sacar la relación a flote a pesar de sus compromisos con la escuela, familia y amigos.	game/point_and_click/point_and_click.rpy	115	narrador "[what]"
citaChapultepec_084db7ef	narrador	Su relación nunca ha sido perfecta, pero siguen intentando que lo sea. Piensan que así es el amor.	game/point_and_click/point_and_click.rpy	116	narrador "[what]"
citaChapultepec_e021b45a	jugador.personaje	Mejor ya vámonos [pareja.apodo].	game/point_and_click/point_and_click.rpy	118	jugador.personaje "[what]"
citaChapultepec_11258150	jugador.personaje	La verdad no quiero pelear amor, pero a veces te siento distante. He llegado a pensar que te sientes mejor con tus amistades que conmigo. Creo que te aburro o no sé...	game/point_and_click/point_and_click.rpy	129	jugador.personaje "[what]"
citaChapultepec_7f37e270	pareja.personaje	Así que ya, vámonos, y perdón por lo que te dije. A veces digo cosas que no quiero decir...	game/point_and_click/point_and_click.rpy	152	pareja.personaje "[what]"
citaChapultepec_e8f2a54c	jugador.personaje	Si, [palabraGenero].	game/point_and_click/point_and_click.rpy	155	jugador.personaje "[what]"
citaChapultepec_1dfb260c	jugador.personaje	Ya no te voy a seguir el juego. Ahí te mando un mensaje.	game/point_and_click/point_and_click.rpy	162	jugador.personaje "[what]"
citaChapultepec_bc090532	jugador.personaje	(suspiro) Bueno. Chao	game/point_and_click/point_and_click.rpy	172	jugador.personaje "[what]"
citaChapultepec_db16cd19	pareja.personaje	'¡No, espera!, es que yo... lo siento, a veces digo cosas que no quiero decir...	game/point_and_click/point_and_click.rpy	174	pareja.personaje "[what]"
citaChapultepec_6c935783	jugador.personaje	A ver cálmate, quería hablarlo porque no te veía, pero así no llegamos a nada. Caminemos y cuando estés [palabraGenero], lo hablamos.	game/point_and_click/point_and_click.rpy	217	jugador.personaje "[what]"
citaChapultepec_117cbe78	pareja.personaje	¿Que yo me calme? Te llevas pero no te aguantas... Y yo que te tenía una sorpresa...	game/point_and_click/point_and_click.rpy	219	pareja.personaje "[what]"
citaChapultepec_a5e35bc7	jugador.personaje	¿Sorpresa?	game/point_and_click/point_and_click.rpy	221	jugador.personaje "[what]"
citaChapultepec_7f3afd29	pareja.personaje	Aaa ahora ya quieres hablar...	game/point_and_click/point_and_click.rpy	223	pareja.personaje "[what]"
citaChapultepec_961016b5	pareja.personaje	Era una tarjeta de Spotify que te enviaba mi [palabraGenero].	game/point_and_click/point_and_click.rpy	226	pareja.personaje "[what]"
citaChapultepec_a68111da	jugador.personaje	¡Hay si! Me dijo [emocionado/a] que me tenía una.	game/point_and_click/point_and_click.rpy	228	jugador.personaje "[what]"
citaChapultepec_80c49991	pareja.personaje	Pero con tus dramas no sé...	game/point_and_click/point_and_click.rpy	230	pareja.personaje "[what]"
citaChapultepec_c9e89b51	jugador.personaje	(suspiro) Ok... lo podemos hablar otro día. ¿De cuántos meses es la tarjeta?	game/point_and_click/point_and_click.rpy	240	jugador.personaje "[what]"
citaChapultepec_906b7f38	narrador	¡Obtuviste una tarjeta de Spotify! Click o toca para continuar.	game/point_and_click/point_and_click.rpy	242	narrador "[what]"
citaChapultepec_9a50151d	jugador.personaje	Sólo si estás [palabraGenero] a hablar de lo que pasó... ¿Ya platicamos en buen plan?	game/point_and_click/point_and_click.rpy	250	jugador.personaje "[what]"
citaChapultepec_35b89fac	narrador	¡Obtuviste una tarjeta rota de Spotify! Click o toca para continuar.	game/point_and_click/point_and_click.rpy	253	narrador "[what]"
opcionNoDisponible_05d6c702	narrador	Disculpa, esta cita todavía no está disponible.\nDa click o toca cualquier otra parte de la pantalla para poder volver a elegir	game/point_and_click/point_and_click.rpy	259	narrador "[what]"
retroalimentacion_pareja_chapultepec_8a36be0a	narrador	Bueno... no creo que esa haya sido la cita que planearon, ¿verdad?	game/point_and_click/point_and_click.rpy	267	narrador "[what]"
retroalimentacion_pareja_chapultepec_f24dbf72	narrador	Lamentablemente [pareja.nombre] dañó tu planta, veamos cuándo pasó:	game/point_and_click/point_and_click.rpy	271	narrador "[what]"
retroalimentacion_pareja_chapultepec_2db457c3	narrador	[pareja.nombre] te hizo {b}gaslighting{/b} y {b}culpabilizó{/b} por la discusión, cuando [palabraGenero] fue quien te dijo absorbente.	game/point_and_click/point_and_click.rpy	279	narrador "[what]"
retroalimentacion_pareja_chapultepec_db5af962	narrador	Ahí te intentó {b}humillar{/b} por mostrar tus sentimientos.	game/point_and_click/point_and_click.rpy	284	narrador "[what]"
retroalimentacion_pareja_chapultepec_cb41f2f3	narrador	[pareja.nombre] se {b}burló{/b} de tu preocupación demeritandote y queriendo que te callaras.	game/point_and_click/point_and_click.rpy	289	narrador "[what]"
retroalimentacion_pareja_chapultepec_8676a4d3	narrador	[pareja.nombre] te intentó {b}humillar{/b} por querer irte, en vez de platicarlo.	game/point_and_click/point_and_click.rpy	292	narrador "[what]"
retroalimentacion_pareja_chapultepec_ae9940d4	narrador	[pareja.nombre] te {b}culpabilizó{/b} de crear peleas por expresar cómo te sentías y quitándose responsabilidad en la discusión.	game/point_and_click/point_and_click.rpy	297	narrador "[what]"
retroalimentacion_pareja_chapultepec_105654f0	narrador	[pareja.nombre] te {b}culpabilizó{b} de hacerla enojar y te insultó.	game/point_and_click/point_and_click.rpy	302	narrador "[what]"
retroalimentacion_pareja_chapultepec_582decf4	narrador	Además, cuando él te dijo:	game/point_and_click/point_and_click.rpy	306	narrador "[what]"
retroalimentacion_pareja_chapultepec_73fe0096	narrador	[pareja.nombre] te intentó {b}humillar{/b} por tus preguntas, descalificándolas.	game/point_and_click/point_and_click.rpy	308	narrador "[what]"
retroalimentacion_pareja_chapultepec_99749e08	narrador	[pareja.nombre] te hizo {b}gaslighting{/b} y {b}culpabilizó{/b} de su reacción, justificando que decías mentiras cuando no hubo ninguna.	game/point_and_click/point_and_click.rpy	313	narrador "[what]"
retroalimentacion_pareja_chapultepec_30337f97	narrador	[pareja.nombre] te {b}celó{/b} por tus amistades, justificando que peleaste para terminar la cita.	game/point_and_click/point_and_click.rpy	320	narrador "[what]"
retroalimentacion_pareja_chapultepec_d8826b64	narrador	[pareja.nombre] te {b}culpabilizó{/b} de la discusión y lo redujo a un "drama".	game/point_and_click/point_and_click.rpy	324	narrador "[what]"
retroalimentacion_pareja_chapultepec_a7244f11	narrador	[pareja.nombre] te intentó {b}chantajear{/b} para hacer pasar la violencia anterior, lo hizo con el regalo de su [palabraGenero] para tí.	game/point_and_click/point_and_click.rpy	330	narrador "[what]"
retroalimentacion_pareja_chapultepec_a707960b	narrador	[pareja.nombre] te {b}humilló{/b} con su insulto y {b}destruyó{/b} el regalo de su [palabraGenero] por no caer en su chantaje.	game/point_and_click/point_and_click.rpy	336	narrador "[what]"
retroalimentacion_pareja_chapultepec_c26c04c6	narrador	Y con toda esta violencia, acabó afectada tu planta.	game/point_and_click/point_and_click.rpy	338	narrador "[what]"
retroalimentacion_pareja_chapultepec_72e6db22	narrador	Pero recuerda, {b}no es tu culpa{/b}. [pareja.nombre] es responsable de los daños que causó, no tú.	game/point_and_click/point_and_click.rpy	339	narrador "[what]"
retroalimentacion_jugador_chapultepec_51a3ce98	narrador	Ahora, veamos el estado de la planta de [pareja.nombre].	game/point_and_click/point_and_click.rpy	346	narrador "[what]"
retroalimentacion_jugador_chapultepec_26d3cd2a	narrador	¡Oh! Con tus respuestas obtuviste un aspersor de agua sucia para tu planta.	game/point_and_click/point_and_click.rpy	353	narrador "[what]"
retroalimentacion_jugador_chapultepec_e02feeae	narrador	La planta de [pareja.nombre] se siente un poco enferma., veamos cuándo pasó:	game/point_and_click/point_and_click.rpy	358	narrador "[what]"
retroalimentacion_jugador_chapultepec_d9fab20b	narrador	Decidiste {b}celar{/b} a [pareja.nombre] por alguien más, en vez de preguntarle por sus sentimientos.	game/point_and_click/point_and_click.rpy	364	narrador "[what]"
retroalimentacion_jugador_chapultepec_5aa9635a	narrador	Decidiste {b}ignorar{/b} a [pareja.nombre] cuando se empezaba a abrir contigo y no darle importancia.	game/point_and_click/point_and_click.rpy	369	narrador "[what]"
retroalimentacion_jugador_chapultepec_f90de57e	narrador	Decidiste {b}culpabilizar{/b} a [pareja.nombre] y cortar la comunicación. Además de intentar {b}humillar{/b} por no aceptar tus preocupaciones.	game/point_and_click/point_and_click.rpy	374	narrador "[what]"
retroalimentacion_jugador_chapultepec_d41d594d	narrador	Y por esta violencia, acabó afectada la planta de [pareja.nombre].	game/point_and_click/point_and_click.rpy	376	narrador "[what]"
retroalimentacion_jugador_chapultepec_64385000	narrador	Es normal querer defenderse o terminar la discusión, pero la violencia nos puede alejar de lo que queremos decir.	game/point_and_click/point_and_click.rpy	377	narrador "[what]"
retroalimentacion_jugador_chapultepec_7726a974	narrador	Con las emociones en lo alto podemos hacer cosas de las que nos arrepentimos después. Tomemos un respiro y con respeto se entiende la gente.	game/point_and_click/point_and_click.rpy	378	narrador "[what]"
retroalimentacion_jugador_chapultepec_ec18c0ec	narrador	¡Felicidades! Con tus respuestas ganaste un aspersor con agua limpia.	game/point_and_click/point_and_click.rpy	385	narrador "[what]"
retroalimentacion_jugador_chapultepec_a1b2cd21	narrador	Tu planta ha comenzado a florecer.	game/point_and_click/point_and_click.rpy	390	narrador "[what]"
retroalimentacion_jugador_chapultepec_e1ce3183	narrador	Pero hubo momentos en los que caíste en la presión de [pareja.nombre]:	game/point_and_click/point_and_click.rpy	397	narrador "[what]"
retroalimentacion_jugador_chapultepec_04d49275	narrador	[pareja.nombre] te {b}humilló{/b} y decidiste seguirle la corriente.	game/point_and_click/point_and_click.rpy	403	narrador "[what]"
retroalimentacion_jugador_chapultepec_b5caed2e	narrador	Buscaste cambiar el tema ante el enojo de [pareja.nombre] y poner su bienestar primero.	game/point_and_click/point_and_click.rpy	414	narrador "[what]"
retroalimentacion_jugador_chapultepec_cdf6680f	narrador	Quisiste hacer pasar la violencia ocurrida para terminar el conflicto.	game/point_and_click/point_and_click.rpy	419	narrador "[what]"
retroalimentacion_jugador_chapultepec_b9e1d0d1	narrador	¿Recuerdas esa tarjeta de Spotify? Era un regalo para tí, pero la aceptaste a través de un {b}chantaje{/b}.	game/point_and_click/point_and_click.rpy	423	narrador "[what]"
retroalimentacion_jugador_chapultepec_e9c2b65e	narrador	Cuidado, estas violencias pueden {b}continuar{/b} o {b}escalar{/b} si no se detienen y sólo las aceptas.	game/point_and_click/point_and_click.rpy	425	narrador "[what]"
retroalimentacion_mito_chapultepec_f880ff4a	narrador	Además, algunos de los diálogos de Carlos y Ximena reproducen mitos sobre los roles de género, ¿Te diste cuenta?	game/point_and_click/point_and_click.rpy	432	narrador "[what]"
retroalimentacion_mito_chapultepec_426d4bfc	narrador	Por ejemplo:	game/point_and_click/point_and_click.rpy	433	narrador "[what]"
retroalimentacion_mito_chapultepec_94ddf57b	narrador	Está bien reconocer tus errores, pero ¿fue por un error o porque Ximena cree estar encargada de hacer sentir bien a su pareja?	game/point_and_click/point_and_click.rpy	440	narrador "[what]"
retroalimentacion_mito_chapultepec_690be2aa	narrador	Te intentó {b}humillar{b} por mostrar tus emociones, ¿Eso es algo de verguenza?	game/point_and_click/point_and_click.rpy	446	narrador "[what]"
retroalimentacion_mito_chapultepec_2a166227	narrador	¿Será que quiere ser el tema de conversación, o cree que así debe ser en una relación?	game/point_and_click/point_and_click.rpy	448	narrador "[what]"
retroalimentacion_mito_chapultepec_2a166227_1	narrador	¿Será que quiere ser el tema de conversación, o cree que así debe ser en una relación?	game/point_and_click/point_and_click.rpy	452	narrador "[what]"
retroalimentacion_mito_chapultepec_2a166227_2	narrador	¿Será que quiere ser el tema de conversación, o cree que así debe ser en una relación?	game/point_and_click/point_and_click.rpy	456	narrador "[what]"
retroalimentacion_mito_chapultepec_2a166227_3	narrador	¿Será que quiere ser el tema de conversación, o cree que así debe ser en una relación?	game/point_and_click/point_and_click.rpy	460	narrador "[what]"
retroalimentacion_mito_chapultepec_53b38bce	narrador	Puede ser cierto, pero la respuesta fue a la defensiva, ¿puede ser que cree tener que ocultar sus emociones?	game/point_and_click/point_and_click.rpy	465	narrador "[what]"
retroalimentacion_mito_chapultepec_63da8eb3	narrador	Aunque Ximena haya "empezado", si hay una agresión, ¿quién es el responsable?	game/point_and_click/point_and_click.rpy	469	narrador "[what]"
retroalimentacion_mito_chapultepec_2db3417f	narrador	Además de la {b}humillación{/b}, ¿será que cree que en la relación debe de dar órdenes?	game/point_and_click/point_and_click.rpy	473	narrador "[what]"
retroalimentacion_mito_chapultepec_20ef28a5	narrador	Puede que Ximena se enoje facilmente, ¿pero por qué piensa que así son todas las mujeres?	game/point_and_click/point_and_click.rpy	477	narrador "[what]"
retroalimentacion_mito_chapultepec_80015a3f	narrador	¿Los regalos son una muestra de amor o cree que es una responsabilidad?	game/point_and_click/point_and_click.rpy	481	narrador "[what]"
retroalimentacion_mito_chapultepec_53b38bce_1	narrador	Puede ser cierto, pero la respuesta fue a la defensiva, ¿puede ser que cree tener que ocultar sus emociones?	game/point_and_click/point_and_click.rpy	487	narrador "[what]"
retroalimentacion_mito_chapultepec_90985275	narrador	Además de la {b}culpabilización{/b}, ¿la mejor solución será ser reservado?	game/point_and_click/point_and_click.rpy	494	narrador "[what]"
retroalimentacion_mito_chapultepec_1ecb8cc1	narrador	Tal vez alguno de estos diálogos no los habías visto con este punto de vista.	game/point_and_click/point_and_click.rpy	496	narrador "[what]"
retroalimentacion_mito_chapultepec_69b18bd4	narrador	Por eso es bueno cuestionarnos si ¿es un gesto propio o lo hago porque "así debe ser"?	game/point_and_click/point_and_click.rpy	497	narrador "[what]"
logro_aspersor_7ec59e82	narrador	Con tu respuesta reflejaste empatía. Obtuviste un aspersor de agua limpia para tu planta.\nDa click en el elemento para recogerlo y guardar.	game/point_and_click/point_and_click.rpy	504	narrador "[what]"
penalizacion_aspersor_97528668	narrador	¡Oh no! La mejor opción hubiera sido hablarlo. Obtuviste un aspersor de agua sucia para tu planta. Da click en el elemento para recogerlo y guardar.	game/point_and_click/point_and_click.rpy	511	narrador "[what]"
planta_florece_a1b2cd21	narrador	Tu planta ha comenzado a florecer.	game/point_and_click/point_and_click.rpy	521	narrador "[what]"
planta_marchita_88c6cbc4	narrador	Tu planta se siente un poco enferma.	game/point_and_click/point_and_click.rpy	529	narrador "[what]"
violencia_culpabilizar_1_7de3a5b0	pareja.personaje	Es que yo quiero estar bien, o sea si te acuerdas yo solo te estaba escuchando, pero pues empezaste a hecharme bronca por algúna razón...	game/point_and_click/point_and_click.rpy	536	pareja.personaje "[what]"
violencia_culpabilizar_2_48d6dabc	pareja.personaje	Pues sí, aburres con tus dramas e inseguridades. Yo de verdad quiero salir a gusto contigo, pero por cualquier cosa andas reclamando.	game/point_and_click/point_and_click.rpy	545	pareja.personaje "[what]"
violencia_culpabilizar_3_c1d39275	pareja.personaje	Es tu culpa, si no estuvieras castrando, no me hubieras hecho enojar. Eres bien pinche imprudente.	game/point_and_click/point_and_click.rpy	553	pareja.personaje "[what]"
violencia_culpabilizar_4_b215d730	pareja.personaje	(suspiro) Pero eso no depende de mí ¿ok? Si me inventas cosas, me tengo que defender.	game/point_and_click/point_and_click.rpy	561	pareja.personaje "[what]"
violencia_culpabilizar_5_c4a90868	jugador.personaje	¿Sabes qué? Ya echaste a perder la salida, mejor ya me voy. A ver quién se preocupa por tí.	game/point_and_click/point_and_click.rpy	569	jugador.personaje "[what]"
violencia_celar_1_f01e08cb	jugador.personaje	¿Y eso de dónde lo sacas? Tus “amigues” te volvieron a hablar mal de mí, ¿verdad?	game/point_and_click/point_and_click.rpy	577	jugador.personaje "[what]"
violencia_humillar_1_d06f0a42	pareja.personaje	Si, yo también amor, pero procura ya no hostigar tanto ¿eh?, o voy a tenerte que poner un diurex en la boca [palabraGenero].	game/point_and_click/point_and_click.rpy	586	pareja.personaje "[what]"
violencia_humillar_2_07c83071	pareja.personaje	Pero si acabamos de llegar, ¿ves como eres bien [palabraGenero]?	game/point_and_click/point_and_click.rpy	595	pareja.personaje "[what]"
violencia_ignorar_1_cb13ef2e	jugador.personaje	Que ya te dije que me voy. Mándame mensaje o lo que sea.	game/point_and_click/point_and_click.rpy	603	jugador.personaje "[what]"
violencia_celar_2_827cdadc	pareja.personaje	Pues vete con tus "amigues", porque seguro querías un pretexto para eso, ¿verdad?	game/point_and_click/point_and_click.rpy	611	pareja.personaje "[what]"
violencia_chantaje_1_027dbff1	pareja.personaje	Entonces... ¿Pasamos página y te la doy?	game/point_and_click/point_and_click.rpy	619	pareja.personaje "[what]"
violencia_destruir_1_93e02374	pareja.personaje	¡Hay pinche [palabraGenero]! Ya mejor me voy, ¿y la tarjeta? Aquí la tienes.	game/point_and_click/point_and_click.rpy	628	pareja.personaje "[what]"
violencia_mito_humillar_1_74df6e8b	pareja.personaje	Aunque luego no aguantas cuando te respondo y andas de frágil...	game/point_and_click/point_and_click.rpy	636	pareja.personaje "[what]"
violencia_mito_humillar_2_557020c3	pareja.personaje	Bueno, vámonos ahorita. Y no más preguntas estúpidas, quiero que se me pase el enojo. 	game/point_and_click/point_and_click.rpy	644	pareja.personaje "[what]"
violencia_mito_culpabilizar_1_7fee01f4	pareja.personaje	Entonces me hiciste venir hasta acá para otro de tus dramas... Eres increíble. No vuelvo a abrir mi bocota.	game/point_and_click/point_and_click.rpy	652	pareja.personaje "[what]"
mito_bienestar_1_d634971d	jugador.personaje	...Perdón, sólo me preocupaba por tí.	game/point_and_click/point_and_click.rpy	660	jugador.personaje "[what]"
mito_bienestar_2_569c9611	jugador.personaje	Mejor hablamos de esto cuando estés más relajado, después de tu entrega.	game/point_and_click/point_and_click.rpy	668	jugador.personaje "[what]"
mito_atencion_1_5676b08d	pareja.personaje	Y me hablas de tus cosas de la uni, sin preguntarme por las mías... Pero si me insistes en lo que siento, te respondo.	game/point_and_click/point_and_click.rpy	676	pareja.personaje "[what]"
mito_atencion_2_ce1f1360	pareja.personaje	Sólo tienes que estar para mí, no interrogarme, ¿puedes?	game/point_and_click/point_and_click.rpy	684	pareja.personaje "[what]"
mito_atencion_3_2c0716a0	pareja.personaje	Claaro, si yo soy la que tengo que estar enviandote mensajes...	game/point_and_click/point_and_click.rpy	692	pareja.personaje "[what]"
mito_atencion_4_330af0ea	pareja.personaje	Amor, mejor pregúntame de mi semana, que esta tuve un buen de exposiciones.	game/point_and_click/point_and_click.rpy	700	pareja.personaje "[what]"
mito_ocultar_1_cc4587ec	pareja.personaje	Yo ando normal, no tengo nada.	game/point_and_click/point_and_click.rpy	708	pareja.personaje "[what]"
mito_ocultar_2_bd5fdb49	jugador.personaje	Ya olvidé mi preocupación, era una tontería.	game/point_and_click/point_and_click.rpy	716	jugador.personaje "[what]"
mito_respeto_1_5ef15a44	pareja.personaje	Con tus inseguridades me quieres provocar, pero no te daré lo que quieres.	game/point_and_click/point_and_click.rpy	724	pareja.personaje "[what]"
mito_sensible_1_06124ed8	pareja.personaje	Mmmta. Igual que las demás, a la primera te enojas.	game/point_and_click/point_and_click.rpy	731	pareja.personaje "[what]"
mito_proveedor_1_fa20db5f	pareja.personaje	Mira amor, ahora sí traje dinero para comprarte de los helados que te gustan, ¿vamos?	game/point_and_click/point_and_click.rpy	739	pareja.personaje "[what]"
presion_humillar_02392fb2	jugador.personaje	(risa nerviosa) Haha si...	game/point_and_click/point_and_click.rpy	746	jugador.personaje "[what]"
presion_culpabilizar_73a2c927	jugador.personaje	Bueno, tienes razón, discúlpame. Ya no hay que hablar de eso, vamos a intentar pasarla bien.	game/point_and_click/point_and_click.rpy	753	jugador.personaje "[what]"
start_20903777	narrador	¡Bienvenide! Te explicaré cómo funciona el juego.	game/script.rpy	119	narrador "[what]"
start_f41ddf47	narrador	Vas a tomar el papel de uno de los personajes que se te presentaron anteriormente, [novia.name] o [novio.name].	game/script.rpy	120	narrador "[what]"
start_06557ecc	narrador	En el mapa que puedes ver, eligirás un lugar y tener una cita	game/script.rpy	122	narrador "[what]"
start_e417e0de	narrador	Además, cada quien tiene una planta que representa el estado de su relación.	game/script.rpy	127	narrador "[what]"
start_1b16d557	narrador	Sus decisiones las ayudarán a crecer o marchitarlas.	game/script.rpy	129	narrador "[what]"
eleccionPersonaje_26482c8b	narrador	Y ¡oh mira! [novia.name] y [novio.name] están en el cine, vamos a conocerlos.	game/script.rpy	135	narrador "[what]"
eleccionPersonaje_ecfe2457	narrador	En el cine dentro de una sala, están Ximena y Carlos esperando a que empiece la película.	game/script.rpy	138	narrador "[what]"
eleccionPersonaje_86c72d9a	novia	Ay amor, ¡gracias por los boletos! Seguro te costó un buen conseguirlos, escuché que había pocos.	game/script.rpy	140	novia "[what]"
eleccionPersonaje_790f72da	novio	Es que estuve pegado a la compu desde la preventa, sabía que tenías muchas ganas de verla. Lo único malo es que vino mucha gente y solo alcanzamos unas palomitas chicas...	game/script.rpy	142	novio "[what]"
eleccionPersonaje_abfd4290	novia	No te preocupes, me encanta compartir las palomitas y más si es contigo.	game/script.rpy	145	novia "[what]"
eleccionPersonaje_e9378ca6	novio	Gracias amor, me haces muy feliz Xime.	game/script.rpy	147	novio "[what]"
eleccionPersonaje_161e3d0a	narrador	Ahora que los conoces un poco, elige el personaje con el que quieres jugar.	game/script.rpy	151	narrador "[what]"
seleccionNovia_e8f769ce	narrador	Haz seleccionado a [jugador.nombre]	game/script.rpy	160	narrador "[what]"
seleccionNovio_e8f769ce	narrador	Haz seleccionado a [jugador.nombre]	game/script.rpy	170	narrador "[what]"
eleccionCita_6f8fce56	narrador	Elige el lugar de la cita.\nDa click o toca cualquier parte de la pantalla para minimizar este mensaje.	game/script.rpy	178	narrador "[what]"
finalJuego_1c238d35	narrador	¡Muchas gracias por jugar esta primera versión del juego!	game/script.rpy	185	narrador "[what]"
finalJuego_f8422eee	narrador	Si tienes comentarios, por favor compartelos con nosotros y ayudanos a mejorar	game/script.rpy	186	narrador "[what]"
evaluacion_0ad51f00	oncahui	¡Ya terminé el juego!	game/script.rpy	197	oncahui "[what]"
evaluacion_e65dfeff	oncahui	Y analizándolo, creo que el {b}videojuego{/b}…	game/script.rpy	200	oncahui "[what]" nointeract
evaluacion_83f0d2ae	oncahui	Si, ¡se me hizo bueno!	game/script.rpy	202	oncahui "[what]"
evaluacion_676c20a0	oncahui	Si, estuvo ok.	game/script.rpy	204	oncahui "[what]"
evaluacion_0986e5e0	oncahui	Si, ¡no estuvo bueno!	game/script.rpy	206	oncahui "[what]"
evaluacion_52274027	oncahui	Y en el caso de la {b}diversión{/b}, fue un juego… 	game/script.rpy	209	oncahui "[what]" nointeract
evaluacion_a8aefe8e	oncahui	La pasé bien jugándolo.	game/script.rpy	211	oncahui "[what]"
evaluacion_8c436a6f	oncahui	Pudo ser más divertido.	game/script.rpy	213	oncahui "[what]"
evaluacion_061a4395	oncahui	No pasó nada divertido...	game/script.rpy	215	oncahui "[what]"
evaluacion_bfc0d3ce	oncahui	Además, la {b}dificultad{/b} del juego fue...	game/script.rpy	218	oncahui "[what]" nointeract
evaluacion_f62ba732	oncahui	Fue un juego fácil.	game/script.rpy	220	oncahui "[what]"
evaluacion_97ebaf75	oncahui	Fue un juego moderado.	game/script.rpy	222	oncahui "[what]"
evaluacion_61ed89a2	oncahui	Fue un juego difícil.	game/script.rpy	224	oncahui "[what]"
evaluacion_21b7f03d	oncahui	Donde su {b}interfaz{/b} como menús, ventanas y botones me parecieron...	game/script.rpy	227	oncahui "[what]" nointeract
evaluacion_4846678c	oncahui	Le doy a su interfaz un 5 de 5 en claridad.	game/script.rpy	230	oncahui "[what]"
evaluacion_8ef7dfbb	oncahui	Le doy a su interfaz un 3 de 5 en claridad.	game/script.rpy	232	oncahui "[what]"
